hike_id,Bring Bug Spray,Easy Difficulty,Family Friendly,Hard Difficulty,Lake/Waterfall/Pond,Parking Issues,Rocky Conditions,Snow/Icy Conditions,Well Maintained
hike_1123,0,1,1,0,1,0,0,0,0
hike_4,0,0,1,1,1,0,0,0,0
hike_6,0,0,0,1,0,1,1,0,0
hike_7,0,1,0,1,0,0,1,0,0
hike_8,0,0,1,1,1,0,0,0,0
hike_9,0,0,0,1,1,0,1,0,0
hike_11,0,1,1,1,0,0,0,0,0
hike_1,0,0,0,1,0,1,1,0,0
hike_2,0,0,0,1,1,0,1,0,0
hike_3,0,0,0,1,0,1,1,0,0
hike_1124,0,1,1,1,0,0,0,0,0
hike_15,0,1,0,1,0,0,1,0,0
hike_17,0,0,0,1,1,0,1,0,0
hike_18,0,1,0,0,1,0,0,0,1
hike_19,0,1,1,0,0,0,1,0,0
hike_20,0,0,0,1,1,0,1,0,0
hike_21,0,1,1,0,0,0,1,0,0
hike_22,0,0,0,1,1,0,1,0,0
hike_23,0,0,0,1,1,0,1,0,0
hike_13,0,0,1,1,1,0,0,0,0
hike_14,0,0,0,1,0,0,1,0,1
hike_1002,0,0,0,1,0,1,1,0,0
hike_1730,0,1,1,0,0,0,0,0,1
hike_28,0,1,0,0,1,0,1,0,0
hike_29,0,1,1,0,0,1,0,0,0
hike_30,0,1,0,1,0,0,1,0,0
hike_31,0,0,0,1,0,1,1,0,0
hike_32,0,0,1,1,0,0,1,0,0
hike_33,0,1,1,1,0,0,0,0,0
hike_34,0,0,1,1,1,0,0,0,0
hike_25,0,0,0,1,0,1,1,0,0
hike_26,0,0,1,1,0,0,1,0,0
hike_1003,0,0,0,1,0,1,1,0,0
hike_39,0,0,0,1,1,0,1,0,0
hike_40,0,1,1,0,0,0,1,0,0
hike_42,0,1,0,0,0,1,1,0,0
hike_43,1,1,1,0,0,0,0,0,0
hike_44,0,1,0,1,0,0,1,0,0
hike_45,0,1,1,0,1,0,0,0,0
hike_46,0,1,1,1,0,0,0,0,0
hike_47,1,1,1,0,0,0,0,0,0
hike_37,0,1,1,0,0,0,0,0,1
hike_38,1,0,1,1,0,0,0,0,0
hike_1004,0,0,0,1,0,1,1,0,0
hike_1096,0,0,0,1,1,0,1,0,0
hike_52,0,1,1,1,0,0,0,0,0
hike_55,0,0,1,1,0,0,0,0,1
hike_56,0,0,1,0,0,0,1,0,1
hike_57,0,1,1,1,0,0,0,0,0
hike_58,0,0,0,1,1,0,1,0,0
hike_71,0,1,1,0,1,0,0,0,0
hike_49,0,1,1,0,0,0,0,0,1
hike_50,0,0,1,1,0,0,0,0,1
hike_54,0,0,0,1,1,0,1,0,0
hike_1005,0,0,1,1,0,1,0,0,0
hike_62,0,0,0,1,0,0,1,0,1
hike_63,0,1,1,0,0,0,0,0,1
hike_65,0,1,1,0,1,0,0,0,0
hike_66,0,1,0,0,1,1,0,0,0
hike_67,0,1,1,1,0,0,0,0,0
hike_68,0,1,0,1,0,0,1,0,0
hike_69,0,0,0,1,0,1,1,0,0
hike_70,0,1,1,0,0,0,1,0,0
hike_60,0,1,0,0,1,0,0,0,1
hike_61,0,1,1,0,0,0,1,0,0
hike_1006,0,0,0,1,0,1,1,0,0
hike_1511,0,0,1,0,1,1,0,0,0
hike_77,0,1,0,0,0,1,0,0,1
hike_78,0,0,0,0,0,1,1,0,1
hike_79,0,0,0,1,0,0,1,0,1
hike_80,0,1,0,1,1,0,0,0,0
hike_81,0,1,1,0,1,0,0,0,0
