hike_id,Parking Issues,Rocky Conditions,Snow/Icy Conditions,Lake/Waterfall/Pond,Easy Difficulty,Hard Difficulty,Bring Bug Spray,Family Friendly,Well Maintained
hike_1,182.5,264.0,42.70000000000001,135.0,93.0,221.09999999999977,47.1,157.29999999999993,34.5
hike_10,15.1,28.0,1.1,42.0,46.0,32.300000000000004,9.4,29.000000000000004,13.100000000000001
hike_100,2.0,2.0,2.0,2.0,8.0,2.9,0.0,11.399999999999999,3.3
hike_1000,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
hike_10002,17.0,35.0,6.2,1.0,13.0,22.7,1.1,21.5,3.0
hike_10003,15.0,48.0,11.0,50.0,14.0,25.200000000000006,10.1,22.300000000000008,8.3
hike_10004,4.0,12.0,1.1,33.0,20.0,10.9,10.3,17.799999999999994,10.2
hike_10005,7.0,25.0,4.1,15.0,20.0,25.5,13.2,21.999999999999993,28.8
hike_10006,10.0,13.0,3.0,0.0,22.0,7.499999999999999,3.0,17.9,5.0
hike_10007,9.0,34.0,3.0,2.0,13.0,19.400000000000002,8.1,24.400000000000002,27.900000000000002
hike_10008,3.0,14.0,1.1,14.0,18.0,8.899999999999999,3.0,12.9,5.6
hike_10009,5.0,5.0,2.0,21.0,22.0,8.799999999999997,7.0,19.500000000000004,31.000000000000004
hike_10010,4.2,11.0,2.1,15.0,12.0,11.3,4.3,22.300000000000004,3.1999999999999993
hike_10011,2.0,7.0,3.0,2.0,17.0,8.2,10.3,12.8,9.0
hike_10012,4.0,17.0,2.0,1.0,6.0,5.5,6.0,14.899999999999997,16.6
hike_10013,4.0,8.0,2.0,6.0,29.0,7.6000000000000005,5.0,16.300000000000004,16.0
hike_10014,4.0,9.0,6.0,0.0,18.0,2.6000000000000005,2.0,14.900000000000004,6.3
hike_10015,1.0,4.0,0.0,7.0,7.0,3.9,0.0,8.0,5.3
hike_10016,6.0,23.0,12.1,26.0,14.0,26.299999999999997,19.1,31.299999999999997,29.900000000000002
hike_10017,2.0,2.0,1.0,4.0,4.0,4.800000000000001,2.1,6.5,1.0
hike_10018,2.0,2.0,2.4,22.0,19.0,8.5,6.0,17.2,8.3
hike_10019,1.0,1.0,2.0,12.0,15.0,0.6,3.0,11.1,5.0
hike_1002,33.2,35.0,10.1,0.0,23.0,45.2,8.1,24.500000000000007,5.3
hike_10020,3.0,0.0,1.0,14.0,11.0,2.0,2.0,6.199999999999999,6.0
hike_10021,4.0,4.0,2.0,19.0,8.0,1.1,5.0,13.099999999999998,20.0
hike_10022,2.0,6.0,2.0,16.0,10.0,4.4,5.0,7.300000000000001,8.3
hike_10023,1.0,7.0,2.2,10.0,11.0,3.1,5.0,6.500000000000001,8.3
hike_10024,6.0,15.0,4.0,0.0,11.0,16.099999999999998,1.0,8.2,5.3
hike_10025,4.0,9.0,1.0,3.0,4.0,1.0,1.0,6.6,0.0
hike_10026,11.0,33.0,2.0,3.0,21.0,11.399999999999999,8.0,18.199999999999996,19.6
hike_10027,2.0,1.0,2.0,0.0,4.0,4.3,1.0,10.499999999999998,3.3
hike_10028,3.0,13.0,0.0,0.0,17.0,5.8999999999999995,0.0,11.0,0.0
hike_10029,2.0,1.0,1.0,10.0,5.0,4.7,3.0,15.6,12.0
hike_1003,95.1,148.0,31.2,42.0,92.0,144.19999999999987,18.4,87.39999999999996,36.0
hike_10030,7.0,17.0,2.1,21.0,8.0,15.3,2.0,16.099999999999998,8.899999999999999
hike_10031,1.0,3.0,1.0,4.0,4.0,5.1,1.0,10.799999999999997,18.0
hike_10032,3.0,7.0,0.0,0.0,3.0,3.3000000000000003,0.0,6.2,1.0
hike_10033,2.0,1.0,0.0,0.0,5.0,1.3000000000000003,1.0,3.0000000000000004,8.9
hike_10034,3.0,7.0,0.0,2.0,12.0,5.3,5.0,13.6,7.9
hike_10035,4.0,10.0,1.0,1.0,9.0,4.1000000000000005,7.2,7.199999999999999,19.900000000000002
hike_10036,3.0,10.0,2.0,1.0,7.0,2.1,0.0,5.3999999999999995,0.0
hike_10037,2.0,2.0,0.0,7.0,4.0,0.8,2.0,3.5,3.0
hike_10038,1.0,5.0,1.0,5.0,6.0,5.0,5.0,5.6,7.3
